id,number,value,category_id,lang,code
64,64,Autor teorii heliocentrycznej?,1,pl,
65,65,Znak muzyczny oznaczający ciszę?,1,pl,
66,66,Jakie światła po zmroku przy dobrej widoczności?,1,pl,
67,67,Waluta Japonii?,1,pl,
68,68,W którym sporcie używa się rakiety?,1,pl,
69,69,Twórca Microsoftu?,1,pl,
70,70,Autor Słoneczników?,1,pl,
71,71,Dzień odpoczynku w judaizmie?,1,pl,
72,72,Szef rządu w Polsce?,1,pl,
73,73,Samochód elektryczny?,1,pl,
74,74,5 złotych medali olimpijskich w chodzie?,1,pl,
75,75,Kto reprezentował Polskę na Eurowizji 2022 z 'River'?,1,pl,
76,76,Która planeta jest Czerwoną Planetą?,1,pl,
77,77,Jak nazywa się wynik dzielenia?,1,pl,
78,78,Naturalny satelita Ziemi?,1,pl,
79,79,Największy organ wewnętrzny?,1,pl,
80,80,Rzeka przepływająca przez Warszawę?,1,pl,
81,81,Kiedy zakończyła się II wojna światowa w Europie?,1,pl,
82,82,Film o dinozaurach?,1,pl,
83,83,Co ładuje akumulator podczas jazdy?,1,pl,
84,84,Ile setów trzeba wygrać w siatkówce?,1,pl,
85,85,Technologia łączności bezprzewodowej?,1,pl,
86,86,Kto śpiewa Bad Romance?,1,pl,
87,87,Metal używany do puszek?,1,pl,
88,88,Autor Guerniki?,1,pl,
89,89,Karma oznacza:,1,pl,
90,90,Organ władzy ustawodawczej?,1,pl,
91,91,Japoński producent aut?,1,pl,
92,92,W którym sporcie używa się floretu?,1,pl,
93,93,Przeglądarka Google?,1,pl,
94,94,Główna rola w Forrest Gump?,1,pl,
95,95,Lód bezpośrednio w parę?,1,pl,
96,96,Kontynent przecięty równikiem i Zwrotnikiem Koziorożca?,1,pl,
97,97,Pierwszy prezydent III RP wybrany powszechnie?,1,pl,
98,98,Najwięcej medali olimpijskich spośród wymienionych?,1,pl,
99,99,Polska noblistka z chemii?,1,pl,
100,100,Który owad przechodzi pełne przeobrażenie?,1,pl,
101,1,Która maszyna służy do siewu zbóż?,2,pl,
102,2,Jak nazywa się samiec krowy?,2,pl,
103,3,W jakim budynku najczęściej utrzymuje się świnie?,2,pl,
104,4,Który nawóz zawiera dużo azotu?,2,pl,
105,5,Jak nazywa się okres intensywnego wzrostu roślin?,2,pl,
106,6,Które zwierzę jest hodowane głównie dla wełny?,2,pl,
107,7,Jaką maszyną wykonuje się oprysk pola?,2,pl,
108,8,Która z tych roślin jest zbożem?,2,pl,
109,9,Jak nazywa się budynek przeznaczony dla koni?,2,pl,
110,10,Do czego służy rozsiewacz nawozów?,2,pl,
111,11,Który środek ochrony roślin zwalcza chwasty?,2,pl,
112,12,Jak nazywa się młoda kura?,2,pl,
113,13,Które warzywo rośnie pod ziemią?,2,pl,
114,14,Jaką maszyną najczęściej zbiera się zboże?,2,pl,
115,15,Co najczęściej przechowuje się w silosie zbożowym?,2,pl,
116,16,Która roślina jest często uprawiana na kiszonkę?,2,pl,
117,17,W którym miesiącu najczęściej rozpoczynają się żniwa zbóż w Polsce?,2,pl,
118,18,Jak nazywa się budynek do przechowywania siana i słomy?,2,pl,
119,19,Które zwierzę jest przeżuwaczem?,2,pl,
120,20,Który nawóz jest pochodzenia naturalnego?,2,pl,
121,21,Co napędza większość ciągników rolniczych?,2,pl,
122,22,Która roślina należy do okopowych?,2,pl,
123,23,Do czego służy pług?,2,pl,
124,24,Jak nazywa się młode owcy?,2,pl,
125,25,Symbol którego składnika pokarmowego to litera K?,2,pl,
126,26,Która maszyna służy do belowania siana i słomy w bele?,2,pl,
127,27,Jak nazywa się samica świni?,2,pl,
128,28,W którym budynku najczęściej utrzymuje się kury?,2,pl,
129,29,Który składnik pokarmowy wspomaga rozwój systemu korzeniowego roślin?,2,pl,
130,30,Jak nazywa się młode kozy?,2,pl,
131,31,Kiedy najczęściej wysiewa się kukurydzę w Polsce?,2,pl,
132,32,Która roślina należy do roślin strączkowych?,2,pl,
133,33,Jak nazywa się budynek do przechowywania maszyn rolniczych?,2,pl,
134,34,Który środek ochrony roślin zwalcza choroby grzybowe?,2,pl,
135,35,Które zwierzę jest najczęściej hodowane dla mleka w Polsce?,2,pl,
136,36,Jak nazywa się zakonserwowana zielona pasza dla bydła?,2,pl,
137,37,Która maszyna rozrzuca obornik na polu?,2,pl,
138,38,Która roślina wiosną tworzy charakterystyczne żółte pola?,2,pl,
139,39,Jak nazywa się młody koń?,2,pl,
140,40,Która część rośliny pobiera wodę z gleby?,2,pl,
141,41,Do czego służy kosiarka rotacyjna?,2,pl,
142,42,Które zboże jest najczęściej wykorzystywane do produkcji mąki?,2,pl,
143,43,Jak nazywa się samiec owcy?,2,pl,
144,44,Kiedy najczęściej sadzi się ziemniaki?,2,pl,
145,45,Który składnik pokarmowy najsilniej wpływa na intensywny wzrost liści?,2,pl,
146,46,Jak nazywa się układ służący do podłączania maszyn z tyłu ciągnika?,2,pl,
147,47,Która roślina jest najczęściej uprawiana na produkcję cukru?,2,pl,
148,48,Jak nazywa się okres koszenia traw na siano?,2,pl,
149,49,Który owad jest najważniejszym zapylaczem roślin uprawnych?,2,pl,
150,50,Jak nazywa się urządzenie w ciągniku przekazujące napęd na maszynę?,2,pl,
151,51,Która maszyna służy do sadzenia ziemniaków?,2,pl,
152,52,Jak nazywa się samiec kozy?,2,pl,
153,53,W jakim budynku najczęściej utrzymuje się owce?,2,pl,
154,54,Który nawóz naturalny powstaje z rozłożonych resztek roślinnych?,2,pl,
155,55,Jak nazywa się zimowy okres zahamowania wzrostu wielu roślin?,2,pl,
156,56,Które zwierzę hodowane jest głównie dla miodu?,2,pl,
157,57,Jak nazywa się maszyna do przewracania skoszonej trawy podczas suszenia?,2,pl,
158,58,Która roślina jest zaliczana do oleistych?,2,pl,
159,59,Jak nazywa się budynek do przechowywania płodów rolnych i maszyn?,2,pl,
160,60,Który środek ochrony roślin zwalcza owady?,2,pl,
161,61,Jak nazywa się młode bydła?,2,pl,
162,62,Która część rośliny odpowiada za fotosyntezę?,2,pl,
163,63,Jaką maszyną owija się bele folią?,2,pl,
164,64,Która roślina jest przyprawą?,2,pl,
165,65,Jak nazywa się samiec świni?,2,pl,
166,66,Kiedy najczęściej zbiera się ziemniaki?,2,pl,
167,67,Który składnik odpowiada za prawidłową gospodarkę wodną roślin?,2,pl,
168,68,Jak nazywa się urządzenie do nawadniania pól?,2,pl,
169,69,Który owoc rośnie na krzewie?,2,pl,
170,70,Jak nazywa się okres zbioru zbóż?,2,pl,
171,71,Która maszyna rozdrabnia gałęzie?,2,pl,
172,72,Która roślina jest najczęściej uprawiana na kiszonkę dla bydła?,2,pl,
173,73,Jak nazywa się młoda owca?,2,pl,
174,74,Która część ciągnika odpowiada za zmianę przełożeń?,2,pl,
175,75,Która roślina jest najczęściej uprawiana w sadach?,2,pl,
176,76,Która maszyna służy do zbioru zbóż?,2,pl,
177,77,Jak nazywa się samica konia?,2,pl,
178,78,W jakim budynku najczęściej utrzymuje się bydło mleczne?,2,pl,
179,79,Który nawóz najczęściej stosuje się do odkwaszania gleby?,2,pl,
180,80,Jak nazywa się proces przenoszenia pyłku na znamię słupka?,2,pl,
181,81,Które zwierzę daje pierze wykorzystywane do produkcji poduszek i kołder?,2,pl,
182,82,Jaką maszyną wyrównuje się i zagęszcza glebę po siewie?,2,pl,
183,83,Która roślina jest warzywem korzeniowym?,2,pl,
184,84,Jak nazywa się zbiornik do przechowywania płynnych nawozów naturalnych?,2,pl,
185,85,Który środek ochrony roślin zwalcza choroby wywoływane przez grzyby?,2,pl,
186,86,Jak nazywa się młoda świnia?,2,pl,
187,87,Która część rośliny rozwija się z zalążni po zapłodnieniu?,2,pl,
188,88,Jaką maszyną najczęściej zbiera się ziemniaki na dużych plantacjach?,2,pl,
189,89,Która roślina jest uprawiana głównie dla nasion wykorzystywanych do produkcji oleju?,2,pl,
190,90,Kiedy najczęściej wykonuje się pierwszy pokos traw w Polsce?,2,pl,
191,91,Jak nazywa się element ciągnika przekazujący napęd na maszyny rolnicze?,2,pl,
192,92,Która roślina jest najczęściej uprawiana na mąkę?,2,pl,
193,93,Które zwierzę jest przeżuwaczem?,2,pl,
194,94,Jak nazywa się pole pozostawione czasowo bez uprawy?,2,pl,
195,95,Który nawóz naturalny pochodzi od zwierząt gospodarskich?,2,pl,
196,96,Jak nazywa się maszyna służąca do przewozu płynnej gnojowicy na pole?,2,pl,
197,97,Który owad jest najważniejszym zapylaczem sadów i wielu roślin uprawnych?,2,pl,
198,98,"Jak nazywa się okres, w którym rośliny intensywnie rosną?",2,pl,
199,99,Która roślina jest zbożem ozimym?,2,pl,
200,100,Jak nazywa się system wykorzystujący sygnał satelitarny do precyzyjnego prowadzenia ciągnika po polu?,2,pl,
201,1,Kto pomógł Kopciuszkowi dostać się na bal?,3,pl,
202,2,W czym mieszkał Kubuś Puchatek?,3,pl,
203,3,Jakie zwierzę było przyjacielem Ariel?,3,pl,
204,4,Jak miał na imię ojciec Elsy i Anny?,3,pl,
205,5,Który z siedmiu krasnoludków nosił okulary?,3,pl,
206,6,Jak nazywa się chłopiec wychowany przez wilki?,3,pl,
207,7,Kto napisał „Brzydkie kaczątko”?,3,pl,
208,8,"Jak nazywa się osioł, który podróżuje z Shrekiem?",3,pl,
209,9,Co zgubił Kopciuszek podczas ucieczki z balu?,3,pl,
210,10,Jak nazywa się kot Gargamela?,3,pl,
211,11,Jakie zwierzę potrafił hipnotyzować Mowgliego?,3,pl,
212,12,Jak nazywa się renifer z Krainy Lodu?,3,pl,
213,13,W jakim miejscu mieszkała Roszpunka?,3,pl,
214,14,Co zamieniło się w karocę dla Kopciuszka?,3,pl,
215,15,Jak nazywa się ojciec Pinokia?,3,pl,
216,16,Jak miała na imię syrenka z bajki Disneya?,3,pl,
217,17,Jak nazywa się smok z filmu Mulan?,3,pl,
218,18,Kto mieszkał w chatce z piernika?,3,pl,
219,19,Jak miał na imię ojciec Simby?,3,pl,
220,20,Jakie zwierzę jest Meeko?,3,pl,
221,21,Kto napisał Pinokia?,3,pl,
222,22,Jak nazywa się koń Mulan?,3,pl,
223,23,Jakie zwierzę jest symbolem filmu Bambi?,3,pl,
224,24,Jak nazywa się królestwo Elsy i Anny?,3,pl,
225,25,"Jak miał na imię chłopiec, który nie chciał dorosnąć?",3,pl,
226,26,Jak nazywa się tygrys z Kubusia Puchatka?,3,pl,
227,27,Jak miał na imię książę Kopciuszka?,3,pl,
228,28,Jak nazywa się pantera Mowgliego?,3,pl,
229,29,Co było zatrute u Śnieżki?,3,pl,
230,30,Jak nazywa się bałwan z Krainy Lodu?,3,pl,
231,31,Towarzysz Vaiany?,3,pl,
232,32,Autor Alicji w Krainie Czarów?,3,pl,
233,33,Ojciec Ariel?,3,pl,
234,34,Kot z Alicji?,3,pl,
235,35,Smok z Raya?,3,pl,
236,36,Kto wychował Tarzana?,3,pl,
237,37,Najlepszy przyjaciel Puchatka?,3,pl,
238,38,W czym mieszkały Smerfy?,3,pl,
239,39,Koń Roszpunki?,3,pl,
240,40,Ojciec Belli?,3,pl,
241,41,Autor Calineczki?,3,pl,
242,42,Zły lew?,3,pl,
243,43,Ukochany Ariel?,3,pl,
244,44,Przyjaciel Roszpunki?,3,pl,
245,45,Renifer?,3,pl,
246,46,Autor Piotrusia Pana?,3,pl,
247,47,Meeko to?,3,pl,
248,48,Wróżka Piotrusia?,3,pl,
249,49,Gdzie mieszkał Shrek?,3,pl,
250,50,Ojciec Vaiany?,3,pl,
251,51,Przyjaciel Mowgliego niedźwiedź?,3,pl,
252,52,Sanie Kristoffa ciągnął?,3,pl,
253,53,Księżniczka z Merida Waleczna?,3,pl,
254,54,Kot Pinokia?,3,pl,
255,55,Kraina Alicji?,3,pl,
256,56,Wróg Smerfów?,3,pl,
257,57,Symbol Dumbo?,3,pl,
258,58,Co nosił Kot w Butach?,3,pl,
259,59,Ojciec Bambi?,3,pl,
260,60,Gdzie mieszkała Baba Jaga?,3,pl,
261,61,Wróżka Pinokia?,3,pl,
262,62,Ojciec Simby?,3,pl,
263,63,Sebastian to?,3,pl,
264,64,Magiczna lampa?,3,pl,
265,65,Kto opiekował się Tarzanem?,3,pl,
266,66,Jak miał na imię Osioł?,3,pl,
267,67,Koń Meridy?,3,pl,
268,68,Autor Królowej Śniegu?,3,pl,
269,69,Pua to?,3,pl,
270,70,Kot Gargamela?,3,pl,
271,71,Mama Bambi?,3,pl,
272,72,Królestwo Bestii?,3,pl,
273,73,Drewniany chłopiec?,3,pl,
274,74,Kto połknął Gepetta?,3,pl,
275,75,Królik z Puchatka?,3,pl,
276,76,Kot z Pinokia?,3,pl,
277,77,Książę Śpiącej Królewny?,3,pl,
278,78,Pumba to?,3,pl,
279,79,Czarodziej z Miecza w kamieniu?,3,pl,
280,80,Dom Smerfów?,3,pl,
281,81,Statek Haka?,3,pl,
282,82,Tata Peppy?,3,pl,
283,83,Przyjaciel Dumbo?,3,pl,
284,84,Koń Roszpunki?,3,pl,
285,85,Ojciec Elsy?,3,pl,
286,86,Autor Małej Syrenki?,3,pl,
287,87,Mama Peppy?,3,pl,
288,88,Kot z Alicji?,3,pl,
289,89,Przyjaciele Kopciuszka?,3,pl,
290,90,Ojciec Ariel?,3,pl,
291,91,Chłopiec z Nibylandii?,3,pl,
292,92,Zły czarodziej Smerfów?,3,pl,
293,93,Przyjaciel Meridy?,3,pl,
294,94,Gdzie mieszkał Shrek?,3,pl,
295,95,Smok z Raya?,3,pl,
296,96,Ukochany Ariel?,3,pl,
297,97,Wróżka Piotrusia?,3,pl,
298,98,Kaa to?,3,pl,
299,99,Ojciec Pinokia?,3,pl,
300,100,Kim chciał zostać Pinokio?,3,pl,
